stop_name,date_collection_datetime,lbs_collected,compost_created_lbs
Citizen's Convenience Center,11/2/2022,197,20
Citizen's Convenience Center,1/4/2022,431.8,43
Citizen's Convenience Center,2/5/2022,460.8,46
Citizen's Convenience Center,4/5/2022,462.8,46
Citizen's Convenience Center,20/5/2022,655.8,66
Citizen's Convenience Center,8/6/2022,352.8,35
Citizen's Convenience Center,10/6/2022,336.8,34
Citizen's Convenience Center,13/6/2022,770.8,77
Citizen's Convenience Center,24/6/2022,451.8,45
Citizen's Convenience Center,6/7/2022,453.8,45
Citizen's Convenience Center,11/7/2022,650.8,65
Citizen's Convenience Center,12/8/2022,658.8,66
Citizen's Convenience Center,31/8/2022,511.8,51
Citizen's Convenience Center,16/9/2022,389.8,39
Citizen's Convenience Center,19/9/2022,716.2,72
Citizen's Convenience Center,5/10/2022,405.8,41
Citizen's Convenience Center,24/10/2022,465.6,47
Citizen's Convenience Center,31/10/2022,953.4,95
Citizen's Convenience Center,2/11/2022,574.8,57
Citizen's Convenience Center,9/11/2022,503.6,50
Citizen's Convenience Center,21/12/2022,724.4,72
Citizen's Convenience Center,30/12/2022,815.4,82
Citizen's Convenience Center,3/1/2023,730.4,73
Citizen's Convenience Center,11/1/2023,724.8,72
Citizen's Convenience Center,20/1/2023,752.4,75
Citizen's Convenience Center,10/2/2023,571.6,57
Citizen's Convenience Center,3/3/2023,300.4,30
Citizen's Convenience Center,8/3/2023,610.8,61
Citizen's Convenience Center,13/3/2023,779.4,78
Citizen's Convenience Center,22/3/2023,707.8,71
Citizen's Convenience Center,10/4/2023,874.6,87
Citizen's Convenience Center,26/4/2023,641.6,64
Citizen's Convenience Center,3/5/2023,668.4,67
Citizen's Convenience Center,26/5/2023,566.6,57
Citizen's Convenience Center,30/5/2023,991.4,99
Citizen's Convenience Center,31/5/2023,385.8,39
Citizen's Convenience Center,14/6/2023,528.8,53
Citizen's Convenience Center,19/6/2023,0,0
Citizen's Convenience Center,26/6/2023,988.4,99
Citizen's Convenience Center,5/7/2023,491.6,49
Citizen's Convenience Center,7/7/2023,734.4,73
Citizen's Convenience Center,10/7/2023,1104.4,110
Citizen's Convenience Center,14/7/2023,948.4,95
Citizen's Convenience Center,17/7/2023,998.4,100
Citizen's Convenience Center,11/8/2023,584.8,58
Citizen's Convenience Center,14/8/2023,739.4,74
Citizen's Convenience Center,16/8/2023,439.6,44
Citizen's Convenience Center,6/9/2023,542.4,54
Citizen's Convenience Center,13/9/2023,445.8,45
Citizen's Convenience Center,25/9/2023,557.4,56
Citizen's Convenience Center,27/9/2023,679.8,68
Citizen's Convenience Center,11/10/2023,531.4,53
Citizen's Convenience Center,1/11/2023,636.4,64
Citizen's Convenience Center,3/11/2023,612.6,61
Citizen's Convenience Center,6/11/2023,533.4,53
Citizen's Convenience Center,27/11/2023,1422.4,142
Citizen's Convenience Center,20/12/2023,494.4,49
